task_id,iteration_used,correct,tests_passed,tests_failed,z_score,p_unified,p_exact,score,method_used,token_count,green_count,meets_z,stopped_early,output_file
HumanEval/0,2,True,7,0,1.9381481597796366,0.047657371044860355,0.047657371044860355,1.3218699186030969,binomial,11,9,False,False,output/gemini_exp4_during_gen_v1-1_164_humaneval/0.py
HumanEval/1,3,True,4,0,2.845554196177887,0.0031035770377410964,0.0031035770377410964,2.508137469981947,binomial,9,9,True,True,output/gemini_exp4_during_gen_v1-1_164_humaneval/1.py
HumanEval/2,2,True,3,0,2.120950872104509,0.04041944021049423,0.04041944021049423,1.3934097055455263,binomial,5,5,False,False,output/gemini_exp4_during_gen_v1-1_164_humaneval/2.py
HumanEval/3,3,True,6,0,2.509542915080997,0.011200216360215497,0.011200216360215497,1.9507735877637369,binomial,7,7,True,True,output/gemini_exp4_during_gen_v1-1_164_humaneval/3.py
HumanEval/4,4,True,3,0,2.366138339326548,0.01633219005504354,0.01633219005504354,1.7869555749052728,binomial,10,9,True,True,output/gemini_exp4_during_gen_v1-1_164_humaneval/4.py
HumanEval/5,2,True,3,0,1.5057479463290055,0.13613214103897503,0.13613214103897503,0.8660393249957412,binomial,5,5,False,False,output/gemini_exp4_during_gen_v1-1_164_humaneval/5.py
HumanEval/6,1,True,3,0,2.845554196177887,0.0031035770377410964,0.0031035770377410964,2.508137469981947,binomial,9,9,True,True,output/gemini_exp4_during_gen_v1-1_164_humaneval/6.py
HumanEval/7,2,True,4,0,0.6881106206342229,0.3944664213315202,0.3944664213315202,0.4039899598844665,binomial,6,4,False,False,output/gemini_exp4_during_gen_v1-1_164_humaneval/7.py
HumanEval/8,5,True,5,0,1.9747195293342397,0.04833096663690365,0.04833096663690365,1.3157745187267287,binomial,8,7,False,False,output/gemini_exp4_during_gen_v1-1_164_humaneval/8.py
HumanEval/9,2,True,4,0,1.5057479463290055,0.13613214103897503,0.13613214103897503,0.8660393249957412,binomial,6,5,False,False,output/gemini_exp4_during_gen_v1-1_164_humaneval/9.py
